01DB METRAVIB|700258
CHAMPIONTECH ENTERPRISE SHENZHEN INC|E44E76
CHANEY INSTRUMENT CO|24C86E
CHANG TSENG TECHNOLOGY CO LTD|001DAE
CHANG YOW TECHNOLOGIES INTERNATIONAL CO LTD|E85D86
CHANGCHUN HUAYU WEBPAD CO LTD|000E4A
CHANGHE ELECTRONICS CO LTD|18FC9F
CHANGHONG HONGKONG TRADING LIMITED|ACACE2
CHANGSHU GAOSHIDA OPTOELECTRONIC TECHNOLOGY CO LTD|B8F828
CHANGSHU SWITCHGEAR MFG CO LTD FORMER CHANGSHU SWITCHGEA|001993
CHANGYANG TECHNOLOGY NANJING CO LTD|74273C
CHANGZHOU HAOJIE ELECTRIC CO LTD|D443A8
CHANGZHOU TIANNENGBO SYSTEM CO LTD|9038DF
CHANGZHOU UCHIP ELECTRONICS CO LTD|C4824E
CHANGZHOU YONGSE INFOTECH CO LTD|50ED78
CHANNEL SYSTEMS INTERN L INC|0040BF
CHANNELMATIC INC|0060B7
CHANSON WATER CO LTD|9C13AB
CHANT SINCERE CO LTD|00179BB816DB
CHANTRY NETWORKS|000FC8
CHAOWIFI COM|7C2587
CHARGESTORM AB|A47C14
CHARLES INDUSTRIES LTD|00030200055B
CHARLES RIVER DATA SYSTEMS INC|0040E8
CHARLES RIVER LABORATORIES|70BF3E
CHASE COMMUNICATIONS|00D0AA
CHASE RESEARCH LTD|0080D4
CHAUVIN ARNOUX|0C51F7
CHECK POINT SOFTWARE TECHNOLOGIES|0012C1001C7F00A08E
CHECKOUT COMPUTER SYSTEMS LTD|003025
CHECKPOINT SYSTEMS INC|00178D
CHEERCHIP ELECTRONIC TECHNOLOGY SHANGHAI CO LTD|0026EA
CHEERING CONNECTION CO LTD|883B8B
CHEERSTAR TECHNOLOGY CO LTD|5CEB68
CHEERTEK INC|0015E5
CHEERZING COMMUNICATION XIAMEN TECHNOLOGY CO LTD|70FF5C
CHEETAH HI TECH INC|20DC93
CHELSIO COMMUNICATIONS|000743
CHELTON LIMITED|001E70
CHEMOPTICS INC|6C9BC0
CHEMTRONICS|3C7AC4
CHENBRO MICOM CO LTD|001C45
CHENG HONGJIAN|001986
CHENG UEI PRECISION INDUSTRY CO LTD|001A0E9CCD82E0F5CA
CHENGDU 30KAITIAN COMMUNICATION INDUSTRY CO LTD|00227E
CHENGDU BEIZHONGWANGXIN TECHNOLOGY CO LTD|94F524
CHENGDU CHIPINTELLI TECHNOLOGY CO LTD|18E1DE
CHENGDU ETHERCOM INFORMATION TECHNOLOGY LTD|0019CD
CHENGDU FUHUAXIN TECHNOLOGY CO LTD|A0861D
CHENGDU GEEYA TECHNOLOGY CO LTD|00252A
CHENGDU HIGON INTEGRATED CIRCUIT DESIGN CO LTD|ACF85C
CHENGDU INNOTHINGS TECHNOLOGY CO LTD|B88981
CHENGDU INNOVATEST TECHNOLOGY CO LTD|A024F9
CHENGDU JIAFAANTAI TECHNOLOGY CO LTD|949FB4
CHENGDU JIARUI HUALIAN COMMUNICATION TECHNOLOGY CO|E8CC8C
CHENGDU JINSHI COMMUNICATION CO LTD|F4BD7C
CHENGDU JIUZHOU ELECTRONIC TECHNOLOGY INC|00262E
CHENGDU KT ELECTRIC CO OF HIGH NEW TECHNOLOGY|000F1E
CHENGDU KT ELECTRONIC HI TECH CO LTD|48F8FFE89FEC
CHENGDU LINKON COMMUNICATIONS DEVICE CO LTD|002244
CHENGDU MAIPU ELECTRIC INDUSTRIAL CO LTD|00017A
CHENGDU MEROSS TECHNOLOGY CO LTD|48E1E9
CHENGDU NEWIFI CO LTD|48F027
CHENGDU PHYCOM TECH CO LTD|64B21D
CHENGDU POVODO ELECTRONIC TECHNOLOGY CO LTD|6CF9D2
CHENGDU QIANLI NETWORK TECHNOLOGY CO LTD|2C1E4F
CHENGDU QUANJING INTELLIGENT TECHNOLOGY CO LTD|E0EF02
CHENGDU TD TECH|9C5440D0A0D6
CHENGDU USEE DIGITAL TECHNOLOGY CO LTD|D464F7
CHENGDU VISION ZENITH TECH CO LTD|48A2B8
CHENGDU VOLANS TECHNOLOGY CO LTD|EC6C9F
CHENGDU XGIMI TECHNOLOGY CO LTD|800B51
CHENGDU XIYIDA ELECTRONIC TECHNOLOGY CO LTD|6C0EE6
CHENGDU XUGUANG TECHNOLOGY CO LTD|9C443D
CHENGDU YINGJI ELECTRONIC HI TECH CO LTD|24EE3A
CHENMING MOLD INDUSTRY CORP|000DFF
CHENZHOU GOSPELL DIGITAL TECHNOLOGY CO LTD|001C1D
CHEOPS ELEKTRONIK|000C4B
CHERRY GMBH|001BB5
CHESS ENGINEERING B V|002092
CHEVIN SOFTWARE ENG LTD|00208E
CHG HOSPITAL BEDS|984A47
CHI LIN TECHNOLOGY CO LTD|001FB6
CHI MEI COMMUNICATION SYSTEMS INC|001194CCF3A5
CHIARO NETWORKS LTD|00034D
CHIC TECHNOLOGY CHINA CORP|000C5D
CHICONY ELECTRONICS CO LTD|4CBB58645A04907F61B0C090
CHIH KAN TECHNOLOGY CO LTD|000BF2
CHINA BROADBAND WIRELESS IP STANDARD GROUP CHINABWIPS|001472
CHINA DAHENG GROUP INC|002149
CHINA DRAGON TECHNOLOGY LIMITED|007E5604392624B72A3C7AAA40AA5644EFBF94E0D6A06720A09DC1D0A46FE051D8E07526
CHINA ELECTRIC POWER RESEARCH INSTITUTE|000E69
CHINA ENTROPY CO LTD|10C22F
CHINA ESSENCE TECHNOLOGY ZHUMADIAN CO LTD|D062A0
CHINA GRAND COMMUNICATIONS CO LTD|FC38C4
CHINA GREAT WALL COMPUTER SHENZHEN CO LTD|00073E
CHINA GREATWALL COMPUTER SHENZHEN CO LTD|A49005
CHINA GRIDCOM CO LTD|001B65
CHINA HOPEFUL GROUP HOPEFUL ELECTRIC CO LTD|886B76
CHINA HUALU PANASONIC AVC NETWORKS CO LTD|0404B8
CHINA IWNCOMM CO LTD|000BC0
CHINA LEADSHINE TECHNOLOGY CO LTD|74DDCB
CHINA MOBILE CHONGQING BRANCH|8C8F8B
CHINA MOBILE GROUP DEVICE CO LTD|00CFC000E22C044F7A0815AE0C14D2103D3E1479F31869DA1C417624128124615A34AC113C574F3CE3E74062EA448EEC44C874481F6650297B507097508CF55C75C664C5826C0F0B7089CC74ADB7781053782E5678C3137C6A608C53D290473C90F3B894BE0994FF61987DDDA41B34A861DFAC5AEEAC710CB4D0A9BC9E2CC01692C43306CC5CDEDC152DE0456DE0E0C2E4C0CCE83A4BEC9B2DF848FDFC2E19
CHINA MOBILE HANGZHOU INFORMATION TECHNOLOGY CO LTD|20968A2400FA2823F54C457658C8768044FD8C1850A84122B45459B4BA12BCD7CECCF0FDF010AB
CHINA MOBILE IOT COMPANY LIMITED|047E231C25E12C334144E6B048216C50558D5891536458AD64F88A688B0F8022788427B6A0950CA09B12AC5474AC8B6AB03055B05365B4E46BC098DAC0D0FFD47EE4E0C58FE42D7B
CHINA MOBILE IOT LIMITED COMPANY|14ADCA1C784E4422957881CEFC8E5BFCF29F
CHINA PALMS TELECOM LTD|60FE1E
CHINA POST COMMUNICATIONS EQUIPMENT CO LTD|7C8437
CHINA SSJ SUZHOU NETWORK TECHNOLOGY INC|983F9F
CHINA TELECOM CORPORATION LIMITED|20AC9C
CHINA TELECOM FUFU INFORMATION TECHNOLOGY CO LTD|24E3DE
CHINA TRANSINFO TECHNOLOGY CO LTD|48D875
CHINASYS TECHNOLOGIES LIMITED|00120B
CHINO CORPORATION|000499
CHIP PC LTD|000535
CHIP PRO LTD|002122
CHIP2CHIP|0003F5
CHIPCOM CORPORATION|08008F
CHIPER TECHNOLOGY CO LTD|18F18E
CHIPS SYSTEMS INC|001381
CHIPSEA TECHNOLOGIES SHENZHEN CORP|0C954110961A282947381EC750FB195CCAD38822B2C8B21ED03E7DE8CBED
CHIPSGUIDE TECHNOLOGY CO LTD|F42B7D
CHIPSIP TECHNOLOGY CO LTD|7472F2
CHIRON TECHNOLOGY LTD|001178
CHITAI ELECTRONIC CORP|5849BA
CHIUN MAI COMMUNICATION SYSTEM INC|58C93598C854CC9F7AE897B8
CHIYODA ELECTRONICS CO LTD|40B3CD
CHIYODA SYSTEM RIKEN|0030E4
CHIYU TECHNOLOGY CO LTD|000EE3
CHLORIDE S R L|B0869E
CHOFU SEISAKUSHO CO LTD|A4F522
CHONGHO INFORMATION COMMUNICATIONS|000C9C
CHONGQING CAMYU TECHNOLOGY DEVELOPMENT CO LTD|40C4D6
CHONGQING EHS SCIENCE AND TECHNOLOGY DEVELOPMENT CO LTD|2411D0
CHONGQING FUGUI ELECTRONICS CO LTD|18473D1CBFC028CDC4402343405BD84CD5774CEBBD5C3A455CBAEF5CFB3A646C806CADAD7412B38CC84BA497B1A8934AACD564B068E6B4B5B6C0B5D7C89402D41B81D81265E86F38EC5C68
CHONGQING GUANFANG TECHNOLOGY CO LTD|E8DE00
CHONGQING GUOHONG TECHNOLOGY DEVELOPMENT COMPANY LIMITED|584C19
CHONGQING HUIJIATONG INFORMATION TECHNOLOGY CO LTD|74614B
CHONGQING JINOU SCIENCE TECHNOLOGY DEVELOPMENT CO LTD|001B35
CHONGQING LAVID TECHNOLOGY CO LTD|909164
CHONGQING MAS SCI TECH CO LTD|7CDD11
CHONGQING MIEDU TECHNOLOGY CO LTD|D49B5C
CHONGQING QINGJIA ELECTRONICS CO LTD|043D98
CHONGQING SICHUAN INSTRUMENT MICROCIRCUIT CO LTD|807DE3
CHONGQING TRANTOR TECHNOLOGY CO LTD|1C05B7
CHONGQING YIPINGFANG TECHNOLOGY CO LTD|6C8F4E
CHOU CHIN INDUSTRIAL CO LTD|000766
CHOUNG HWA TECH CO LTD|34FE1C
CHR MAYR GMBH CO KG|00047F
CHRISTIE DIGITAL SYSTEMS INC|001AD7
CHROMA|0023BA
CHROMATEK INC|000152
CHROMATICS INC|00002D
CHROMATIS NETWORKS INC|00500E
CHROMISYS INC|000222
CHROMLECH|B4DF3B
CHRONTEL|F0022B
CHRYSALIS DEVELOPMENT|000907
CHUANG INTERNATIONAL HOLDING CO LTD|00157F
CHUANG YI NETWORK EQUIPMENT CO LTD|001913
CHUANGO SECURITY TECHNOLOGY CORPORATION|84DF19
CHUBB CSC VENDOR AP|001687
CHUBB ELECTRONIC SECURITY SYSTEMS LTD|001C5B
CHUN IL CO LTD|04AB6A
CHUNG FU CHEN YEH ENTERPRISE CORP|000622
CHUNG HSIN ELECTRIC MACHINERY MFG CORP|000F2D
CHUNG NAM ELECTRONIC CO LTD|00057B
CHUNGHUA INTELLIGENT NETWORK EQUIPMENT INC|2C4E7D
CHUNGHWA TELECOM CO LTD|000A43
CHUNICHI DENSHI CO LTD|0018F1
CHUNIL ELECTRIC IND CO|001A8B
CHUNTEX ELECTRONIC CO LTD|00C098
CHUO ELECTRONICS CO LTD|0040F1
CHYI LEE INDUSTRY CO LTD|98D686
CHYNG HONG ELECTRONIC CO LTD|704642
CHYRON CORPORATION|00003A
CI NETWORK CORP|0015B5
CIAC|0004B4
CIANET INDUSTRIA E COMERCIO S A|001946
CIARA TECHNOLOGIES INC|00139E
CIAS ELETTRONICA SRL|CCC8D7
CIBN ORIENTAL NETWORK BEIJING CO LTD|A8827F
CICADA SEMICONDUCTOR INC|0003F1
CIDCO INCORPORATED|000315
CIDRA CORP|000DCF
CIENA CORPORATION|00238A144E2A1892A41C11612080582C39C12C4A1154C33E7487BB78D71A848DCE94434D9C7A03AC89D2C4836FC8CA79D0196AD439B8D4B7D0E09B27E46D7FECB0E1
CIERMA ASCENSEURS|0018A0
CIESSE|74B472
CIG SHANGHAI CO LTD|04B6BE34B5A36057477C9F07A4817ACCCF83E48E10EC84B4F40B9F
CIHOLAS INC|6063F9
CILAG GMBH INTERNATIONAL|84DDB7
CIM USA INC|000F04
CIMCON LIGHTING INC|F43328
CIMETRICS INC|001090
CIMLINC INCORPORATED|0000B3
CIMSYS INC|001122
CINCH CONNECTORS|002670
CINCINNATI MICROWAVE INC|0020EB
CINCO NETWORKS INC|00E0E5
CINCOZE CO LTD|2C9464
CINETAL|002292
CINTA NETWORKS|00052E
CINTECH|0013F6
CIPHER SYSTEMS INC|00C027
CIPHEROPTICS|0009ED
CIPRICO INC|002046
CIRCLE MEDIA INC|8CE2DA
CIRCLE RELIANCE INC DBA CRANBERRY NETWORKS|B4AE6F
CIRCLEONE CO LTD|001CD0
CIRCONTROL S A|002645
CIRILIUM CORP|0001EA
CIRITECH SYSTEMS INC|001E93
CIRKITECH ELECTRONICS CO|000602
CIRRASCALE CORPORATION|001C8A
CIRRUS LOGIC|000E3A
CIRTEC MEDICAL SYSTEMS|D8E3AE
CIS CRYPTO|94D075
CIS TECHNOLOGY INC|00010A002018
CISCO LINKSYS LLC|000C41000E08000F660012170013100014BF0016B60018390018F8001A70001C10001D7E001EE500212900226B00236900259C20AA4B48F8B3586D8F687F7498FC11C0C1C0C8B373C8D719
CISCO MERAKI|00180A00841E08F1B30C7BC80C8DDB149F432C3F0B3456FE3884794CC8A1683A1E6849926CDEA9881544981888A8469DAC17C8ACD31DB80756BCDB09C48BA3CC03D9CC9C3EE0553DE0CBBCE455A8F89E28
CISCO SPVTG|001868001947001BD7001E6B0021BE00223A0022CE0023BE00252E088039105F4910EA5918550F18593324374C24767D2CABA434BDFA385F6638C85C44582944E08E481D704844874C83DE50395554D46F602AD068EE9674547D7CB21B848DC7A4A24ABCC810BCD165C0C687C8FB26CC0DECE448C7F44B2AF45FD4
CISCO SYSTEMS INC|00000C0001420001430001630001640001960001970001C70001C900021600021700023D00024A00024B00027D00027E0002B90002BA0002FC0002FD00033100033200036B00036C00039F0003A00003E30003E40003FD0003FE00042700042800044D00044E00046D00046E00049A00049B0004C00004C10004DD0004DE00050000050100053100053200055E00055F00057300057400059A00059B0005DC0005DD00062800062A00065200065300067C0006C10006D60006D70006F600070D00070E00074F00075000077D0007840007850007B30007B40007EB0007EC00082000082100082F00083000083100083200087C00087D0008A30008A40008C20008E20008E300091100091200094300094400097B00097C0009B60009B70009E80009E9000A41000A42000A8A000A8B000AB7000AB8000AF3000AF4000B45000B46000B5F000B60000B85000BBE000BBF000BFC000BFD000C30000C31000C85000C86000CCE000CCF000D28000D29000D65000D66000DBC000DBD000DEC000DED000E38000E39000E83000E84000ED6000ED7000F23000F24000F34000F35000F8F000F90000FF7000FF800100700100B00100D00101100101400101F00102900102F00105400107900107B0010A60010F60010FF00112000112100115C00115D0011920011930011BB0011BC00120000120100124300124400127F0012800012D90012DA00131900131A00135F00136000137F0013800013C30013C400141B00141C00146900146A0014A80014A90014F10014F200152B00152C0015620015630015C60015C70015F90015FA00164600164700169C00169D0016C70016C800170E00170F00173B00175900175A0017940017950017DF0017E00018180018190018730018740018B90018BA00190600190700192F0019300019550019560019A90019AA0019E70019E8001A2F001A30001A6C001A6D001AA1001AA2001AE2001AE3001B0C001B0D001B2A001B2B001B53001B54001B67001B8F001B90001BD4001BD5001C0E001C0F001C57001C58001CB0001CB1001CF6001CF9001D45001D46001D70001D71001DA1001DA2001DE5001DE6001E13001E14001E49001E4A001E79001E7A001EBD001EBE001EF6001EF7001F26001F27001F6C001F6D001F9D001F9E001FC9001FCA00211B00211C0021550021560021A00021A10021D70021D800220C00220D0022550022560022900022910022BD0022BE00230400230500233300233400235D00235E0023AB0023AC0023EA0023EB0024130024140024500024510024970024980024C30024C40024F70024F90025450025460025830025840025B40025B500260A00260B0026510026520026980026990026CA0026CB00270C00270D0027900027E30029C2002A10002A6A002CC8002F5C00301900302400304000307100307800307B0030800030850030940030960030A30030B60030F200321700351A0038DF003A7D003A98003A99003A9A003A9B003A9C003C1000400B0040960041D200425A00426800451D00500B00500F00501400502A00503E0050500050530050540050730050800050A20050A70050BD0050D10050E20050F000562B0057D20059DC005D73005F8600600900602F00603E00604700605C0060700060830062EC006440006BF1006CBC00727800768600778D007888007E950081C4008731008764008A96008E7300900C00902100902B00905F00906D00906F0090860090920090A60090AB0090B10090BF0090D90090F2009AD2009E1E00A28900A2EE00A38E00A3D100A5BF00A6CA00A74200AA6E00AF1F00B04A00B06400B08E00B0C200B0E100B1E300B67000B77100B8B300BC6000BE7500BF7700C16400C1B100C88B00CAE500CCFC00D00600D05800D06300D07900D09000D09700D0BA00D0BB00D0BC00D0C000D0D300D0E400D0FF00D6FE00D78F00DA5500DEFB00DF1D00E01400E01E00E03400E04F00E08F00E0A300E0B000E0F700E0F900E0FE00E16D00EABD00EBD500EEAB00F28B00F66300F82C00FCBA00FD2200FEC8042AE2045FB9046273046C9D0476B004A74104BD9704C5A404DAD204EB4004FE7F081735081FF30845D1084FA9084FF90896AD08CC6808CCA708D09F08ECF508F3FB0C11670C27240C68030C75BD0C85250CAF310CD0F80CD9960CF5A41005CA1006ED108CCF10A82910B3C610B3D510B3D610BD1810F31110F92014169D14847314A2A018339D1859F5188090188B45188B9D189C5D18E72818EF631C17D31C1D861C6A7A1CAA071CD1E01CDEA71CDF0F1CE6C71CE85D1CFC17200BC5203706203A07204C9E20BBC020CFAE2401C724161B24169D242A042436DA247E1224813B24B65724D79C24E9B32834A2285261286F7F2893FE28940F28AC9E28AFFD28C7CE2C01B52C0BE92C1A052C31242C33112C36F82C3ECF2C3F382C4F522C542D2C57412C5A0F2C73A02C86D22CABEB2CD02D2CF89B3037A6308BB230E4DB30F70D341B2D345DA8346288346F9034732D34A84E34B88334BDC834DBFD34ED1B34F8E7380E4D381C1A3820563890A53891B738ED1838FDF83C08F63C0E233C13CC3C26E43C410E3C510E3C57313C5EC33C8B7F3CCE733CDF1E3CFEAC40017A4006D540424440553940A6E840B5C140CE2440F07840F4EC4403A7442B0344643C44881644ADD944AE2544B6BE44D3CA44E4D9482E72488B0A4C00824C421E4C4E354C5D3C4C710C4C710D4C776D4CA64D4CBC484CE1754CE1765006045006AB500F805017FF501CB0501CBF502FA8503DE55049215057A85061BF5067AE50878950F722544A005451DE5475D054781A547C69547FEE5486BC5488DE548ABA549FC654A274580A205835D9588D0958971E5897BD58AC7858BC2758BFEA58F39C5C31925C3E065C50155C5AC75C64F15C710D5C838F5CA48A5CA62D5CB12E5CE1765CFC666026AA60735C6400F164122564168D643AEA649EF364A0E764AE0C64D81464D98964E95064F69D682C7B683B78687DB46886A76887C66899CD689CE2689E0B68BC0C68BDAB68CAE468EFBD6C03096C13D56C20566C310E6C410E6C416A6C4EF66C504D6C5E3B6C6CD36C710D6C8BD36C8D776C99896C9CED6CAB056CB2AE6CDD306CFA897001B5700B4F700F6A70105C7018A7701F5370350970617B70695A706BB9706D15706E6D70708B7079B3707DB970810570A98370B31770C9C670CA9B70D37970DB9870DF2F70E42270EA1A70F09670F35A7411B27426AC74860B7488BB74A02F74A2E674AD987802B1780CF078725D78BAF978BC1A78DA6E78F1C67C0ECE7C210D7C210E7C310E7C69F67C95F37CAD4F7CAD747CF88080248F80276C802DBF806A0080E01D80E86F843DC68478AC84802D848A8D84B26184B51784B80284EBEF84F147881DFC8843E1885A9288755688908D889CAD88F03188F07788FC5D8C1E808C604F8C84428C941F8CB64F9077EE90E95E94AEF094D46998A2C09C4E209C54169C57AD9CAFCA9CD57D9CE176A00F37A0239FA03D6EA03D6FA0554FA09351A0B439A0CF5BA0E0AFA0ECF9A0F849A40CC3A411BBA41875A44C11A4530EA45630A46C2AA47806A48873A4934CA49BCDA4B239A4B439A80C0DA84FB1A89D21A8B1D4A8B456AC2AA1AC3A67AC4A56AC4A67AC7A56AC7E8AACA016ACBCD9ACF2C5ACF5E6B000B4B02680B07D47B08BCFB08BD0B0907EB0A651B0AA77B0C53CB0FAEBB40216B41489B4A4E3B4A8B9B4DE31B4E9B0B8114BB83861B8621FB8A377B8BEBFBC1665BC16F5BC26C7BC2CE6BC4A56BC5A56BC671CBCC493BCD295BCE712BCF1F2BCFAEBC014FEC0255CC02C17C0626BC064E4C067AFC07BBCC08B2AC08C60C0F87FC40ACBC4143CC444A0C44D84C46413C471FEC47295C47D4FC4B239C4B36AC4B9CDC4C603C4F7D5C80084C828E5C84C75C884A1C89C1DC8F9F9CC167ECC46D6CC5A53CC70EDCC79D7CC7F75CC7F76CC8E71CC9070CC9891CCD539CCD8C1CCDB93CCED4DCCEF48D009C8D0574CD072DCD0A5A6D0C282D0C789D0D0FDD0E042D0EC35D42C44D46624D46A35D46D50D47798D4789BD48CB5D4A02AD4AD71D4ADBDD4C93CD4D748D4E880D4EB68D824BDD867D9D8B190DC0539DC0B09DC3979DC774CDC7B94DC8C37DCA5F4DCCEC1DCEB94DCF719E00EDAE02F6DE05FB9E069BAE0899DE0ACF1E0D173E41F7BE4387EE44E2DE462C4E4AA5DE4C722E4D3F1E80462E84040E85C0AE86549E8B748E8BA70E8D322E8DC6CE8EB34E8EDF3EC01D5EC1D8BEC3091EC4476ECBD1DECC882ECCE13ECE1A9ECF40CF01D2DF02572F02929F04A02F07816F07F06F09E63F0B2E5F0F755F40F1BF41FC2F44E05F47F35F4ACC1F4BD9EF4CFE2F4DBE6F4EA67F4EE31F80BCBF80F6FF84F57F866F2F86BD9F872EAF87A41F87B20F8A5C5F8A73AF8B7E2F8C288F8E57EF8E94FFC589AFC5B39FC9947FCFBFB
CITADEL COMPUTER|00608A
CITEL|001001
CITEL SPA|001637
CITEL TECHNOLOGIES LTD|0006E4
CITICORP TTI|00A020
CITIWAY TECHNOLOGY CO LTD|0019BF
CITIZEN WATCH CO LTD|000CAC
CITRIX SYSTEMS INC|EC75ED
CITRONIX LLC|001252
CITY NET TECHNOLOGY INC|0030BE
CITY THEATRICAL|001E4B
CITYCOM CORP|001435
CITYCOM GMBH|BCEA2B
CITYGROW TECHNOLOGY CO LTD|708B78
CJSC NII STT|008D4E
CJSC NORSI TRANS|30B346
CJSC RTSOFT|587521
CK TELECOM LTD|B86491
CK TELECOM SHENZHEN LIMITED|DCE838E0C0D1
CKD CORPORATION|3C831E
CKS CORPORATION|80D065
CLACK CORPORATION|0481AE
CLARE CONTROLS INC|58677F
CLARIDY SOLUTIONS INC|48D8FE
CLARIION|006016
CLARINET SYSTEMS INC|00109D
CLARION CORPORATION OF AMERICA|00606F
CLARION M SDN BHD|000B4C
CLARIPHY COMMUNICATIONS INC|001D6C
CLARITY DESIGN INC|000AF1
CLAVISTER AB|408493
CLAY PAKY SPA|FCE23F
CLB BENELUX|001C20
CLCSOFT CO|00058F
CLEAR EDGE NETWORKS|000F0A
CLEARBOX SYSTEMS|002110
CLEARCUBE TECHNOLOGY|000582
CLEARONE INC|009079
CLEARPATH NETWORKS INC|0024EB
CLEARPOINT RESEARCH|0080A9
CLEARSKY DATA|3C1A0F
CLEARWIRE|001D88
CLEMATIC|000E89
CLEONDRIS GMBH|8C85E6
CLEVO CO|0090F580FA5BD49390
CLICKTV|000223
CLIENTEC CORPORATION|0090A7
CLIMAX TECHNOLOGY CO LTD|001D94
CLINICARE LTD|085BDA
CLINICOMP INTL|0040A5
CLIPCOMM INC|000788
CLIPSAL AUSTRALIA|0017DD
CLIVET S P A|0015DF
CLOOS ELECTRONIC GMBH|00FA3B
CLOUD CORNER LTD|D8FB68
CLOUD DIAGNOSTICS CANADA ULC|C4808A
CLOUD ENGINES INC|002531
CLOUD LIGHT TECHNOLOGY LIMITED|A8BC9C
CLOUD NETWORK TECHNOLOGY SAMOA LIMITED|0C96E6283A4D485F99
CLOUD NETWORK TECHNOLOGY SINGAPORE PTE LTD|00410E106FD910B1DF14AC601C98C1202B202C98113003C830C9AB38D57A3C55764C82A950C2E85C619960E9AA7497798060B7900F0CA83B76AC50DEBCF4D4CC5EF8CC6B1ED88083DCE994E86538F0A654F889D2FCB0DE
CLOUD STAR TECHNOLOGY CO LTD|9CCBF7
CLOUD TELECOMPUTERS LLC|1071F9
CLOUD VISION NETWORKS TECHNOLOGY CO LTD|FC19D0
CLOUDASTRUCTURE INC|00173A
CLOUDENA CORP|E0F9BE
CLOUDGENIX INC|ECB907
CLOUDISTICS|B4D135
CLOUDIUM SYSTEMS LTD|1C37BF
CLOUDLEAF INC|E06089
CLOUDSHIELD TECHNOLOGIES INC|000BA9
CLOUDSWITCH|609F9D
CLOUDTRONICS PTY LTD|2CCE1E
CLOUDVIEW LIMITED|A861AA
CLOUDWALK TECHNOLOGY CO LTD|0063DE
CLOVER ELECTRONICS CO LTD|00230C
CLOVER NETWORK INC|04C103D49524
CLOVERLEAF COMMUNICATIONS INC|00096A
CLOVERTECH INC|0003CD
CLP COMPUTER LOGISTIK PLANUNG GMBH|0010CC
CLT INT L IND CORP|ACC2EC
CLUSTER LABS GMBH|000946
CLUSTRIX CORPORATION|00007E
CM COMANDOS LINEARES|001922
CM PRECISION TECHNOLOGY LTD|0017C1
CMA MICRODIALYSIS AB|000E04
CMAX WIRELESS CO LTD|CC7A30
CMC|788973
CMC ELECTRONICS INC|0050D2
CMD TECHNOLOGY|00208D
CMICRO CORPORATION|001051
CMITECH|503F98
CML EMERGENCY SERVICES|0003C8
CMOS SYSTEMS INC|00306B
CMOTECH CO LTD|001A20
CMR KOREA CO LTD|4C022E
CMS COMPUTERS LTD|001093
CMS ELECTRACOM|B82FCB
CMS TECHNOLOGIES|0050BB
CMZ SISTEMI ELETTRONICI|000DE2
CNB TECHNOLOGY INC|001E81
CNCR IT CO LTD HANGZHOU P R CHINA|000EA3
CNET TECHNOLOGY INC|0008A10080AD
CNEX LABS|5CB559
CNF MOBILE SOLUTIONS INC|0030E7
CNMP NETWORKS INC|000CEB
CNRS|00228F
CNSLINK CO LTD|D0BE2C
CNSYSTEMS|00072D
CO COMM SERVICIOS TELECOMUNICACIONES S L|CCC5EF
COACH MASTER INTERNATIONAL D B A CMI WORLDWIDE INC|0001AD
COACHCOMM LLC|00255B
COACTIVE AESTHETICS|0010B2
COAGENT INTERNATIONAL ENTERPRISE LIMITED|F4C447
COASTAL ENVIRONMENTAL SYSTEMS|001A1F
COASTCOM|00A070
COAX MEDIA|00037C
COAXIAL NETWORKS INC|001177
COBALT DIGITAL INC|002302AC83F0
COBALTRAY CO LTD|F0D3A7
COBHAM PLC|A47C1F
COBI GMBH|7C574E
COBS AB|2C09CB
COBY|C09C92
COCESS TELECOM CO LTD|00026A
COCHLEAR LIMITED|847778
COCOM A S|0010FD
COCOON ALARM LTD|7C738B
CODACO ELECTRONIC S R O|BC4100
CODAN LIMITED|0012E0
CODE CORPORATION|000BEF
CODER ELECTRONICS CORPORATION|001455
CODETEK TECHNOLOGY CO LTD|B424E7
CODEX CORPORATION|08003E
CODEX DIGITAL LIMITED|20F510
CODIAN LTD|000D7C
CODONICS INC|0040B1
COFFEE EQUIPMENT COMPANY|002342
COFLEC|5848C0
COFRACTAL INC|E4DC5F
COGENCY SEMICONDUCTOR INC|000487
COGENT COMPUTER SYSTEMS INC|003023
COGENT DATA TECHNOLOGIES|000092
COGENT DEFENCE SECURITY NETWORKS|000C3F
COGENT HEALTHCARE SYSTEMS LTD|E8944C
COGENT SYSTEMS INC|000B77
COGNEX CORPORATION|00D024
COGNIO INC|000FB1
COGNITAS TECHNOLOGIES INC|D84B2A
COGNITEC SYSTEMS GMBH|3C3556
COGNITIVE SYSTEMS CORP|58BC8F
COHDA WIRELESS PTY LTD|04E548
COHERE TECHNOLOGIES|B899B0
COHERENT|001B1C
COHERENT COMMUNICATIONS SYSTEMS CORPORATION|009063
COHERENT RESEARCH LIMITED|0017BF
COHESITY INC|44F4E7
COHESIVE FINANCIAL TECHNOLOGIES LLC|001C79
COHO DATA INC|84569C
COHU INC ELECTRONICS DIVISION|0009F2
COL GIOVANNI PAOLO SPA|20BB76
COLLEX|000D47
COLLINEAR NETWORKS INC|202D23
COLOR CHIP|E425E9
COLOR KINETICS|000AC5
COLOR SENTINEL SYSTEMS LLC|00A06F
COLORADO MED TECH|000826
COLORADO VNET|001621
COLORGRAPH LTD|00401F
